image,pattern,psnr
0267x2.png,legendre,21.773499
0268x2.png,box,24.328432
0268x2.png,random,25.001461
0268x2.png,legendre,24.532955
0269x2.png,box,22.141891
0269x2.png,random,22.51049
0269x2.png,legendre,22.121193
0270x2.png,box,21.519976
0270x2.png,random,21.4831
0270x2.png,legendre,22.420103
0271x2.png,box,23.529749
0271x2.png,random,23.815298
0271x2.png,legendre,23.761692
0272x2.png,box,24.443764
0272x2.png,random,24.237488
0272x2.png,legendre,23.295515
0273x2.png,box,21.095993
0273x2.png,random,23.612385
0273x2.png,legendre,22.437075
0274x2.png,box,21.060116
0274x2.png,random,22.061989
0274x2.png,legendre,21.602982
0275x2.png,box,23.816189
0275x2.png,random,23.763245
0275x2.png,legendre,23.557274
0276x2.png,box,23.143532
0276x2.png,random,24.23775
0276x2.png,legendre,23.08849
0277x2.png,box,22.507963
0277x2.png,random,21.757566
0277x2.png,legendre,22.387287
0278x2.png,box,24.232702
0278x2.png,random,26.056377
0278x2.png,legendre,24.705908
0279x2.png,box,20.580818
0279x2.png,random,20.857971
0279x2.png,legendre,21.311695
0280x2.png,box,24.296204
0280x2.png,random,23.917063
0280x2.png,legendre,24.100014
0281x2.png,box,20.332556
0281x2.png,random,21.929205
0281x2.png,legendre,23.0773
0282x2.png,box,22.481878
0282x2.png,random,23.339146
0282x2.png,legendre,23.671974
0283x2.png,box,22.782154
0283x2.png,random,23.46977
0283x2.png,legendre,23.035408
0284x2.png,box,23.099056
0284x2.png,random,25.002224
0284x2.png,legendre,24.524487
0285x2.png,box,21.285961
0285x2.png,random,22.19162
0285x2.png,legendre,21.840288
0286x2.png,box,25.201393
0286x2.png,random,24.452503
0286x2.png,legendre,24.95434
0287x2.png,box,21.518875
0287x2.png,random,22.819164
0287x2.png,legendre,21.344273
0288x2.png,box,21.79924
0288x2.png,random,23.079206
0288x2.png,legendre,22.928707
0289x2.png,box,24.467772
0289x2.png,random,23.680162
0289x2.png,legendre,23.841143
0290x2.png,box,21.774902
0290x2.png,random,24.626284
0290x2.png,legendre,23.150402
0291x2.png,box,20.697908
0291x2.png,random,21.281395
0291x2.png,legendre,21.894585
0292x2.png,box,21.050377
0292x2.png,random,22.558338
0292x2.png,legendre,21.31419
0293x2.png,box,21.235806
0293x2.png,random,21.367928
0293x2.png,legendre,21.56811
0294x2.png,box,21.85734
0294x2.png,random,21.472767
0294x2.png,legendre,21.904448
0295x2.png,box,20.33791
0295x2.png,random,20.044945
0295x2.png,legendre,20.895748
0296x2.png,box,21.012768
0296x2.png,random,22.256462
0296x2.png,legendre,22.447569
0297x2.png,box,19.848766
0297x2.png,random,20.761568
0297x2.png,legendre,21.469744
0298x2.png,box,19.48671
0298x2.png,random,20.368752
0298x2.png,legendre,21.41263
0299x2.png,box,21.6372
0299x2.png,random,23.218756
0299x2.png,legendre,22.327225
0300x2.png,box,23.358479
0300x2.png,random,24.230682
0300x2.png,legendre,23.025454
0301x2.png,box,25.49908
0301x2.png,random,23.961864
0301x2.png,legendre,24.072742
0302x2.png,box,21.626598
0302x2.png,random,24.237839
0302x2.png,legendre,22.905212
0303x2.png,box,20.773159
0303x2.png,random,22.168665
0303x2.png,legendre,22.30349
0304x2.png,box,22.741983
0304x2.png,random,23.695496
0304x2.png,legendre,23.828936
0305x2.png,box,22.410343
0305x2.png,random,22.428944
0305x2.png,legendre,22.238121
0306x2.png,box,22.905848
0306x2.png,random,22.922678
0306x2.png,legendre,22.919825
0307x2.png,box,23.944609
0307x2.png,random,24.838926
0307x2.png,legendre,23.775732
0308x2.png,box,19.053051
0308x2.png,random,19.710876
0308x2.png,legendre,20.207634
0309x2.png,box,21.649418
0309x2.png,random,23.173944
0309x2.png,legendre,23.523697
0310x2.png,box,21.710869
0310x2.png,random,22.328321
0310x2.png,legendre,22.978046
0311x2.png,box,22.781927
0311x2.png,random,22.64784
0311x2.png,legendre,22.900734
0312x2.png,box,22.155525
0312x2.png,random,21.507042
0312x2.png,legendre,22.563107
0313x2.png,box,21.330221
0313x2.png,random,21.756187
0313x2.png,legendre,22.76107
0314x2.png,box,23.681307
0314x2.png,random,26.146467
0314x2.png,legendre,24.608997
0315x2.png,box,22.652739
0315x2.png,random,24.352444
0315x2.png,legendre,22.550713
0316x2.png,box,20.746128
0316x2.png,random,21.404015
0316x2.png,legendre,21.131016
0317x2.png,box,20.981932
0317x2.png,random,21.504597
